@STATION_ID,LATITUDE,LONGITUDE,ALTITUDE(m),TIME(GMT),DATE(GMT),TIME(IST),DATE(IST),AIR_TEMP(°C),WIND_SPEED(m/s),WIND_DIRECTION(deg),ATMO_PRESSURE(hpa),HUMIDITY(%),RAIN_FALL(mm),SUN_SHINE(hh:mm),BATTERY_VOLTAGE(V)
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,0,05/15/2009,5:30,05/15/2009,27.49,0.05,358.99,1003.15,87.93,894.00,10:29,12.49
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,1,05/15/2009,6:30,05/15/2009,26.96,1.03,239.74,1003.64,83.92,894.00,0:0,12.49
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,2,05/15/2009,7:30,05/15/2009,27.79,0.05,358.99,1004.33,77.96,894.00,0:8,12.78
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,3,05/15/2009,8:30,05/15/2009,31.06,0.83,288.61,1004.81,59.97,894.00,1:8,13.17
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,4,05/15/2009,9:30,05/15/2009,31.26,2.00,59.87,1005.21,59.97,894.00,2:8,13.17
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,5,05/15/2009,10:30,05/15/2009,32.48,4.15,57.92,1004.52,58.99,894.00,3:8,13.47
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,6,05/15/2009,11:30,05/15/2009,32.58,2.98,30.55,1004.23,51.96,894.00,4:8,13.37
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,7,05/15/2009,12:30,05/15/2009,32.67,2.98,98.00,1003.74,51.96,894.00,5:8,13.37
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,8,05/15/2009,13:30,05/15/2009,32.28,2.00,80.89,1003.05,53.91,894.00,6:8,14.20
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,9,05/15/2009,14:30,05/15/2009,31.89,3.76,136.61,1002.76,62.90,894.00,7:8,14.20
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,10,05/15/2009,15:30,05/15/2009,31.60,2.69,71.60,1002.37,66.91,894.00,8:8,14.20
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,11,05/15/2009,16:30,05/15/2009,29.79,3.47,98.97,1002.08,83.92,894.00,8:39,14.20
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,12,05/15/2009,17:30,05/15/2009,29.50,3.27,93.60,1002.37,88.91,894.00,8:51,12.78
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,13,05/15/2009,18:30,05/15/2009,28.86,2.59,102.88,1003.25,90.96,894.00,8:51,12.68
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,14,05/15/2009,19:30,05/15/2009,28.37,2.88,150.78,1003.93,87.93,894.00,8:51,12.68
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,15,05/15/2009,20:30,05/15/2009,28.86,0.05,358.99,1005.21,85.97,894.00,8:51,12.68
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,16,05/15/2009,21:30,05/15/2009,29.50,3.47,166.91,1005.50,82.94,894.00,8:51,12.68
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,17,05/15/2009,22:30,05/15/2009,28.08,2.30,207.97,1004.81,72.97,894.00,8:51,12.59
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,18,05/15/2009,23:30,05/15/2009,27.59,1.22,235.83,1005.69,74.93,894.00,8:51,12.59
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,19,05/15/2009,0:30,05/16/2009,27.20,2.79,216.76,1005.01,73.95,894.00,8:51,12.59
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,20,05/15/2009,1:30,05/16/2009,27.30,0.93,218.72,1004.52,80.99,894.00,8:51,12.59
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,21,05/15/2009,2:30,05/16/2009,27.30,0.93,218.72,1004.52,80.99,894.00,8:51,12.59
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,22,05/15/2009,3:30,05/16/2009,26.86,0.05,358.99,1003.54,77.96,894.00,8:51,12.59
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,23,05/15/2009,4:30,05/16/2009,25.39,0.05,358.99,1004.03,83.92,894.00,8:51,12.49
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,0,05/16/2009,5:30,05/16/2009,25.78,0.05,358.99,1004.81,82.94,894.00,8:51,12.49
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,1,05/16/2009,6:30,05/16/2009,26.37,0.05,358.99,1005.21,80.99,894.00,0:0,12.59
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,2,05/16/2009,7:30,05/16/2009,28.76,0.73,287.63,1005.50,64.96,894.00,0:8,12.88
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,3,05/16/2009,8:30,05/16/2009,31.06,2.69,283.72,1006.09,55.96,894.00,1:8,13.17
ISRO0002_15F002(METSITE. SHAR),13.6852777,80.2263888,8,4,05/16/2009,9:30,05/16/2009,31.06,2.69,283.72,1006.09,55.96,894.00,1:8,13.27
